企業名,ホームページ,判明した担当者名,肩書き,出典URL,推奨トーク案
オオスズ技研株式会社,,高校,採用関連担当,https://chiebukuro.yahoo.co.jp/,オオスズ技研株式会社様の採用関連プレスリリースを拝見し、採用関連担当の高校様宛にお役立ていただける情報がありご連絡しました。
オオスズ技研株式会社,,年生,採用関連担当,https://chiebukuro.yahoo.co.jp/,オオスズ技研株式会社様の採用関連プレスリリースを拝見し、採用関連担当の年生様宛にお役立ていただける情報がありご連絡しました。
オークラアクトシティホテルマネジメント株式会社,,高校,採用関連担当,https://chiebukuro.yahoo.co.jp/,Wantedlyの記事で高校様の発信を拝見し、採用広報と母集団形成に関してオークラアクトシティホテルマネジメント株式会社様へ有効なご提案がありお電話しました。
オークラアクトシティホテルマネジメント株式会社,,年生,採用関連担当,https://chiebukuro.yahoo.co.jp/,Wantedlyの記事で年生様の発信を拝見し、採用広報と母集団形成に関してオークラアクトシティホテルマネジメント株式会社様へ有効なご提案がありお電話しました。
サゴーエンタプライズ株式会社,,高校,採用関連担当,https://chiebukuro.yahoo.co.jp/,Wantedlyの記事で高校様の発信を拝見し、採用広報と母集団形成に関してサゴーエンタプライズ株式会社様へ有効なご提案がありお電話しました。
サゴーエンタプライズ株式会社,,年生,採用関連担当,https://chiebukuro.yahoo.co.jp/,Wantedlyの記事で年生様の発信を拝見し、採用広報と母集団形成に関してサゴーエンタプライズ株式会社様へ有効なご提案がありお電話しました。
引佐観光開発株式会社,,高校,採用関連担当,https://chiebukuro.yahoo.co.jp/,ハローワークの求人情報を拝見し、引佐観光開発株式会社様の採用活動に合わせて、採用関連担当の高校様向けに改善施策をご案内したくご連絡しました。
引佐観光開発株式会社,,年生,採用関連担当,https://chiebukuro.yahoo.co.jp/,ハローワークの求人情報を拝見し、引佐観光開発株式会社様の採用活動に合わせて、採用関連担当の年生様向けに改善施策をご案内したくご連絡しました。
